Cancer,cancer,5.7,6.32
It's,it's,7.04,7.31
a,a,7.31,7.39
devastating,devastating,7.39,8.28
disease,disease,8.28,8.87
that,that,8.9,9.1
takes,takes,9.099999,9.469999
an,an,9.48,9.57
enormous,enormous,9.57,10.29
emotional,emotional,10.34,10.98
toll,toll,10.98,11.47
Not,not,11.87,12.11
only,only,12.11,12.41
on,on,12.41,12.55
the,the,12.55,12.67
patient,patient,12.679999,13.499999
but,but,13.549999,13.719999
the,the,13.719999,13.819999
patient's,patient's,13.82,14.47
loved,loved,14.48,14.82
ones,ones,14.82,15.16
as,as,15.16,15.33
well,well,15.33,15.81
It,it,16.619999,16.789999
is,is,16.789999,16.929999
a,a,16.93,17.02
battle,battle,17.029999,17.699999
that,that,17.77,18
the,the,18,18.09
human,human,18.09,18.59
race,race,18.59,18.95
has,has,18.96,19.22
been,been,19.22,19.44
fighting,fighting,19.45,19.93
for,for,19.93,20.08
centuries,centuries,20.08,20.91
And,and,21.38,21.63
while,while,21.63,21.9
we've,we've,21.91,22.27
made,made,22.27,22.54
some,some,22.54,22.87
advancements,advancements,22.87,24
we,we,24.25,24.47
still,still,24.47,25.11
haven't,haven't,25.21,25.83
beaten,beaten,25.89,26.27
it,it,26.27,26.63
Two,two,27.599999,28.119999
out,out,28.26,28.43
of,of,28.429999,28.599999
five,five,28.61,28.97
people,people,28.98,29.46
in,in,29.48,29.67
the,the,29.67,29.76
US,us,29.759999,30.359999
will,will,30.4,30.56
develop,develop,30.58,31.05
cancer,cancer,31.049999,31.669999
in,in,31.7,31.92
their,their,31.92,32.09
lifetime,lifetime,32.09,32.81
Of,of,33.42,33.73
those,those,33.73,34.27
90,<unk>,34.690001,35.190001
percent,percent,35.190001,35.630001
will,will,35.639999,35.779999
succumb,succumb,35.779999,36.209999
to,to,36.209999,36.319999
the,the,36.32,36.42
disease,disease,36.42,36.89
due,due,36.89,37.09
to,to,37.09,37.17
metastases,<unk>,37.17,38.08
Metastasis,<unk>,39.2,40.1
is,is,40.13,40.3
a,a,40.3,40.38
spread,spread,40.38,40.64
of,of,40.64,40.79
