word,alignedWord,start,end,case
Imagine,imagine,7.21,7.54,success
that,that,7.54,7.67,success
your,your,7.67,7.83,success
life,life,7.83,8.2,success
began,began,8.23,8.67,success
roughly,roughly,8.67,9.11,success
years,years,10.27,10.59,success
ago,ago,10.59,10.99,success
as,as,11.12,11.26,success
one,one,11.259999,11.379999,success
of,of,11.38,11.47,success
the,the,11.469999,11.549999,success
planets,planets,11.55,12.030000000000001,success
first,first,12.04,12.42,success
humans,humans,12.42,12.95,success
At,at,13.44,13.57,success
this,this,13.57,13.73,success
time,time,13.75,14.15,success
you,you,14.32,14.49,success
live,live,14.49,14.63,success
in,in,14.63,14.74,success
Africa,africa,14.74,15.21,success
near,near,15.27,15.51,success
modernday,<unk>,15.509999,16.029999,success
Morocco,morocco,16.029999,16.669999,success
and,and,16.859999,17.009998999999997,success
your,your,17.01,17.14,success
life,life,17.139999,17.359999,success
isnt,<unk>,17.369999,17.599999,success
too,too,17.6,17.8,success
different,different,17.799999,18.159999,success
from,from,18.16,18.32,success
that,that,18.32,18.54,success
of,of,18.55,18.7,success
your,your,18.7,18.86,success
hominid,<unk>,18.86,19.259999999999998,success
parents,parents,19.32,19.92,success
You,you,20.15,20.33,success
make,make,20.33,20.58,success
crude,crude,20.63,21.06,success
tools,tools,21.23,21.67,success
hunt,hunt,22.04,22.41,success
and,and,23.16,23.330000000000002,success
gather,gather,23.33,23.669999999999998,success
food,food,23.67,24.060000000000002,success
and,and,24.06,24.189999999999998,success
materials,materials,24.19,24.75,success
until,until,24.75,25.22,success
eventually,eventually,25.62,26.34,success
you,you,26.78,26.970000000000002,success
perish,perish,26.97,27.54,success
But,but,28.380000000000003,28.540000000000003,success
this,this,28.54,28.83,success
is,is,28.84,29.05,success
only,only,29.08,29.47,success
the,the,29.5,29.59,success
beginning,beginning,29.59,30.11,success
Because,because,30.57,30.91,success
after,after,30.939999999999998,31.339999999999996,success
dying,dying,31.34,31.82,success
you,you,32.13,32.300000000000004,success
travel,travel,32.299999,32.619999,success
back,back,32.63,32.85,success
in,in,32.849999,32.969998999999994,success
time,time,32.969999,33.299999,success
to,to,33.299999,33.399999,success
be,be,33.4,33.55,success
reincarnated,reincarnated,33.549999,34.619999,success
as,as,34.980000000000004,35.13,success
the,the,35.17,35.29,success
second,second,35.359999,35.869999,success
human,human,35.91,36.419999999999995,success
ever,ever,36.49,36.830000000000005,success
to,to,36.83,36.989999999999995,success
live,live,36.99,37.52,success
While,while,38.13,38.38,success
