id	text
speaker_900_0000	मैं आज मेरे काम से साथ जुड़े मॉडल के कुछ एक वीडियो दिखाना चाहती हूँ
speaker_900_0001	वे सभी सही आकार में हैं और उन्मे वसा का एक औंस भी नहीं है
speaker_900_0002	क्या मैंने उल्लेख किया था वे बहुत खूबसूरत हैं
speaker_900_0003	और वे वैज्ञानिक मॉडल हैं हंसते हुए
speaker_900_0004	जैसा कि आप अंदाज़ा लगा सकते हैं मैं एक ऊतक इंजीनियर हूँ
speaker_900_0005	और यह दिल की धड़कन का एक वीडियो है
speaker_900_0006	जिसे मैंने प्रयोगशाला में बनाया है
speaker_900_0007	और हमें उम्मीद है कि एक दिन ये ऊतक
speaker_900_0008	मानव शरीर के लिए प्रतिस्थापन भागों के रूप में सेवा कर सकते हैं
speaker_900_0009	लेकिन मैं तुम्हें आज जिसके बारे में बताने जा रही हूँ
speaker_900_0010	कि कैसे इन ऊतकों से कमाल के मॉडल बनाते है
speaker_900_0011	ठीक है चलो एक पल के लिए दवा स्क्रीनिंग की प्रक्रिया के बारे में सोचते हैं
speaker_900_0012	आप दवा तैयार करने प्रयोगशाला परीक्षण पशु परीक्षण से गुजरते हैं
speaker_900_0013	और फिर नैदानिक परीक्षण जिसे आप मानव परीक्षण कह सकते हो
speaker_900_0014	दवाओं के बाजार में आने से पहले किया जाता है
speaker_900_0015	जिसमें पैसे की समय की बहुत लागत आती है
speaker_900_0016	और कभी कभी यहाँ तक कि जब एक दवा बाजार में आती है
speaker_900_0017	तो वह अप्रत्याशित रूप से भी कार्य करती है और वास्तव में लोगों को नुकसान पहुंचाती हैं
speaker_900_0018	और बाद में यह विफल रहती है तो बुरे परिणाम होते हैं
speaker_900_0019	यह सब दो मुद्दों में सिमट जाता हैं एक मनुष्य चूहे नहीं हैं
speaker_900_0020	और दो एक दूसरे के लिए हमारे अविश्वसनीय समानता के बावजूद
speaker_900_0021	तुम्हारे और मेरे बीच के वास्तव में छोटे अंतर
speaker_900_0022	बहुत प्रभावी हैं कि कैसे हम दवाओं पचाते हैं
speaker_900_0023	और वो दवाएं हमें कैसे प्रभावित करती हैं
speaker_900_0024	तो अगर हमारी प्रयोगशाला में बेहतर मॉडल होते
speaker_900_0025	जो हमें न केवल चूहों की तुलना में बेहतर नकल कर सकते हैं
speaker_900_0026	लेकिन हमारी विविधता को दर्शायें
speaker_900_0027	चलो देखते हैं कि हम इसे कैसे ऊतक इंजीनियरिंग के साथ कर सकते हैं
speaker_900_0028	महत्वपूर्ण प्रौद्योगिकियों में एक जो वास्तव में महत्वपूर्ण है
speaker_900_0029	जिसे प्रेरित pluripotent स्टेम सेल कहा जाता है
speaker_900_0030	वे बहुत हाल ही में जापान में विकसित किया गया है
speaker_900_0031	ठीक है प्रेरित pluripotent स्टेम सेल
speaker_900_0032	वे भ्रूण स्टेम कोशिकाओं की तरह बहुत कुछ कर रहे हैं
speaker_900_0033	विवाद को छोड़कर
speaker_900_0034	हम कोशिकाओं को प्रेरित करके ठीक है उदाहरण के लिए त्वचा कोशिकाएं
speaker_900_0035	उन्हे मैं कुछ जीन जोड़ कर उन्हें संवर्धन के द्वारा
